instance,algorithm,iteration,best_cost
nug12,TS-Original,0,850
nug12,TS-Original,100,586
nug12,TS-Original,200,586
nug12,TS-Original,300,586
nug12,TS-Original,400,586
nug12,TS-Original,500,586
nug12,TS-Original,600,586
nug12,TS-Original,700,586
nug12,TS-Original,800,586
nug12,TS-Original,900,586
nug12,TS-Original,1000,586
nug12,TS-Original,1100,586
nug12,TS-Original,1200,586
nug12,TS-Original,1300,586
nug12,TS-Original,1400,586
nug12,TS-Original,1500,586
nug12,TS-Original,1600,586
nug12,TS-Original,1700,586
nug12,TS-Original,1800,586
nug12,TS-Original,1900,586
nug12,TS-Original,2000,586
nug12,TS-Original,2100,586
nug12,TS-Original,2200,586
nug12,TS-Original,2300,586
nug12,TS-Original,2400,586
nug12,TS-Original,2500,586
nug12,TS-Original,2600,586
nug12,TS-Original,2700,586
nug12,TS-Original,2800,586
nug12,TS-Original,2900,586
nug12,TS-Original,3000,586
nug12,TS-Reactive,0,850
nug12,TS-Reactive,100,592
nug12,TS-Reactive,200,586
nug12,TS-Reactive,300,586
nug12,TS-Reactive,400,578
nug12,TS-Reactive,500,578
nug12,TS-Reactive,600,578
nug12,TS-Reactive,700,578
nug12,TS-Reactive,800,578
nug12,TS-Reactive,900,578
nug12,TS-Reactive,1000,578
nug12,TS-Reactive,1100,578
nug12,TS-Reactive,1200,578
nug12,TS-Reactive,1300,578
nug12,TS-Reactive,1400,578
nug12,TS-Reactive,1500,578
nug12,TS-Reactive,1600,578
nug12,TS-Reactive,1700,578
nug12,TS-Reactive,1800,578
nug12,TS-Reactive,1900,578
nug12,TS-Reactive,2000,578
nug12,TS-Reactive,2100,578
nug12,TS-Reactive,2200,578
nug12,TS-Reactive,2300,578
nug12,TS-Reactive,2400,578
nug12,TS-Reactive,2500,578
nug12,TS-Reactive,2600,578
nug12,TS-Reactive,2700,578
nug12,TS-Reactive,2800,578
nug12,TS-Reactive,2900,578
nug12,TS-Reactive,3000,578
chr12a,TS-Original,0,48746
chr12a,TS-Original,100,10580
chr12a,TS-Original,200,10580
chr12a,TS-Original,300,10580
chr12a,TS-Original,400,10580
chr12a,TS-Original,500,10580
chr12a,TS-Original,600,10580
chr12a,TS-Original,700,10580
chr12a,TS-Original,800,10580
chr12a,TS-Original,900,10580
chr12a,TS-Original,1000,10580
chr12a,TS-Original,1100,10580
chr12a,TS-Original,1200,10580
chr12a,TS-Original,1300,10580
chr12a,TS-Original,1400,10580
chr12a,TS-Original,1500,10580
chr12a,TS-Original,1600,10580
chr12a,TS-Original,1700,10580
chr12a,TS-Original,1800,10580
chr12a,TS-Original,1900,10580
chr12a,TS-Original,2000,10580
chr12a,TS-Original,2100,10580
chr12a,TS-Original,2200,10580
chr12a,TS-Original,2300,10580
chr12a,TS-Original,2400,10580
chr12a,TS-Original,2500,10580
chr12a,TS-Original,2600,10580
chr12a,TS-Original,2700,10580
chr12a,TS-Original,2800,10580
chr12a,TS-Original,2900,10580
chr12a,TS-Original,3000,10580
chr12a,TS-Reactive,0,48746
chr12a,TS-Reactive,100,10214
chr12a,TS-Reactive,200,9552
chr12a,TS-Reactive,300,9552
chr12a,TS-Reactive,400,9552
chr12a,TS-Reactive,500,9552
chr12a,TS-Reactive,600,9552
chr12a,TS-Reactive,700,9552
chr12a,TS-Reactive,800,9552
chr12a,TS-Reactive,900,9552
chr12a,TS-Reactive,1000,9552
chr12a,TS-Reactive,1100,9552
chr12a,TS-Reactive,1200,9552
chr12a,TS-Reactive,1300,9552
chr12a,TS-Reactive,1400,9552
chr12a,TS-Reactive,1500,9552
chr12a,TS-Reactive,1600,9552
chr12a,TS-Reactive,1700,9552
chr12a,TS-Reactive,1800,9552
chr12a,TS-Reactive,1900,9552
chr12a,TS-Reactive,2000,9552
chr12a,TS-Reactive,2100,9552
chr12a,TS-Reactive,2200,9552
chr12a,TS-Reactive,2300,9552
chr12a,TS-Reactive,2400,9552
chr12a,TS-Reactive,2500,9552
chr12a,TS-Reactive,2600,9552
chr12a,TS-Reactive,2700,9552
chr12a,TS-Reactive,2800,9552
chr12a,TS-Reactive,2900,9552
chr12a,TS-Reactive,3000,9552
tai12a,TS-Original,0,306620
tai12a,TS-Original,100,239848
tai12a,TS-Original,200,239848
tai12a,TS-Original,300,239848
tai12a,TS-Original,400,239848
tai12a,TS-Original,500,239848
tai12a,TS-Original,600,239848
tai12a,TS-Original,700,239848
tai12a,TS-Original,800,239848
tai12a,TS-Original,900,239848
tai12a,TS-Original,1000,239848
tai12a,TS-Original,1100,239848
tai12a,TS-Original,1200,239848
tai12a,TS-Original,1300,239848
tai12a,TS-Original,1400,239848
tai12a,TS-Original,1500,239848
tai12a,TS-Original,1600,239848
tai12a,TS-Original,1700,239848
tai12a,TS-Original,1800,239848
tai12a,TS-Original,1900,239848
tai12a,TS-Original,2000,239848
tai12a,TS-Original,2100,239848
tai12a,TS-Original,2200,239848
tai12a,TS-Original,2300,239848
tai12a,TS-Original,2400,239848
tai12a,TS-Original,2500,239848
tai12a,TS-Original,2600,239848
tai12a,TS-Original,2700,239848
tai12a,TS-Original,2800,239848
tai12a,TS-Original,2900,239848
tai12a,TS-Original,3000,239848
tai12a,TS-Reactive,0,306620
tai12a,TS-Reactive,100,232164
tai12a,TS-Reactive,200,232164
tai12a,TS-Reactive,300,224416
tai12a,TS-Reactive,400,224416
